Date of Issue,Subject,Brief Description,url,
15-02-2016,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Amendment) Regulations, 2016","Amended Regulation 2 with respect to definition of NRI, Regulation 5(3) with respect to NRIs and Schedule 3 with respect to acquisition of securities by NRIs under the Porfolio Investment Scheme.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FM361E7862E2EE31F4CF8A997AD32A0EE11B2.PDF,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Second Amendment) Regulations, 2016 ","Amended Regulation 2, Regulation 14 and Schedule I (Investment Caps modified).",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTO362159E3CD1EB9D41C1A1574D34242682F9.PDF,
11-02-2016,Regulatory Relaxations for Startups- Clarifications relating to Issue of Shares,Clarifications regarding issue of shares without cash payment through sweat equity and issue of shares against legitimate payment owed.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/C319E7B9BA5A837242DEBF2EA631F7FB8B46.PDF,
,Regulatory relaxations for start-ups-Clarifications relating to acceptance of payments ,Clarifications regarding opening of foreign currency account for start ups with overseas subsidiaries and use of such account.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/318CN110216E2D44312A15B474E86C9E9B336EBDB37.PDF,
,Compilation of R-Returns: Reporting under FETERS ,Modified guidelines for submission of data under the Feters from 1st fortnight of April 2016.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/50CN110216E856B839D2C7437FA5E8E6919203E068.PDF,
04-02-2016,"Post Office (Postal Orders/Money Orders), 2015",Grants general permission to any  person  to  buy  foreign  exchange  from  any post office in India in the form of postal order or money order.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT314761FCE06BFC744A6B6025538848B1A6B.PDF,
,"Definition of ""Currency"", 2015 ","Debit cards, ATM cards or any other instrument which can be used to create a financial liability may be defined as currency.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT313E5C6377798974EACBF479394F6EC4893.PDF,
,"Foreign Exchange Management (Possession and Retention of Foreign Currency) Regulations, 2015",Limits for possession or retention revised.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT312EF952B9DDC244A51B62AF936E53CBF11.PDF,
,"Foreign Exchange Management (Realisation, repatriation and surrender of foreign exchange) Regulations, 2015",Provides a synopsis of the new regulations ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT31158C5DB838EB9409FB4F3EB26662FE4D5.PDF,
,"Foreign Exchange Management (Export and Import of Currency) Regulations, 2015",Limits for import and export of currency revised.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CR3105F871DDFD343407BA1BC640B96AFB21A.PDF,
,"Foreign Exchange Management (Foreign currency accounts by a person resident in India) Regulations, 2015",Regulations to regulate opening and maintenance of foreign currency accounts in and outside India by a person resident in India.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CR30965E80F557FB647A8985CCBBA9F27C5EB.PDF,
,"Foreign Exchange Management (Acquisition and Transfer of Immovable Property outside India) Regulations, 2015",Regulations specifying that acquisition or transfer of any immovable property outside India by a person resident in India requires approval of Reserve Bank except in certain circumstances,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CR308198FAFCC474D44A4A8DCC7F0CFD3D684.PDF,
,Settlement of Export/ Import transactions in currencies not having a direct exchange rate ,"Permission granted to AD Category I banks for settlement  of  such  export  and  import transactions (excluding  those  put  through  the  ACU  mechanism),  subject  to conditions.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CR30723D84678983A433180B7A5E8B54B4A6D.PDF,
01-02-2016,"Foreign Direct Investment -Reporting under FDI Scheme, Mandatory filing of form ARF, FCGPR and FCTRS on e-Biz platform and discontinuation of physical filing from February 8, 2016 ","Online filing enabled for Advance Remittance Form, FCGPR and FCTRS",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR40BDC9B74B5D2D4708A8F174E6B91B8A83.PDF,
21-01-2016,"Foreign Exchange Management(Foreign currency accounts by a person resident in India)Regulations, 2015","Regulations  for  opening,  holding  and maintaining of Foreign Currency Accounts and the limits up to which amounts can be held in such accounts by a person resident in India. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA10RCF8197169BD44E0B9B40BC393E9B5456.PDF,
,"Foreign Exchange Management(Acquisition and transfer of immovable property outside India)Regulations, 2015",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA7R96F2D8FDA254469C84C3F52330C771AF.PDF,
14-01-2016,Export of Goods and Services - Project Exports,Revised Memorandum of Instructions on Project and Service Exports (PEM) released.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APD3980BCCFB42052458583B12C4D21B20A64.PDF,
12-01-2016,"Foreign Exchange Management (Export of Goods & Services) Regulations, 2015",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA23RD01EE508BFC743BD9159391440CF43AC.PDF,
01-01-2016,Master Direction - Establishment of Branch Office (BO)/ Liaison Office (LO)/ Project Office (PO)or any other place of business in India by foreign entities,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/06MDE170516F633150EBCFE438084174F7DECCDC20C.PDF,
,Master Direction - Direct Investment by Residents inJoint Venture (JV) / Wholly Owned Subsidiary (WOS) Abroad,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/10MD06102016E550559916C346E0BC93720658286729.PDF,
,Master Direction - Money Changing Activities,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/17MD4774FA600E4B4AF483BE8C0760D65E07.PDF,
,Master Direction - Opening and Maintenance of Rupee/Foreign Currency Vostro Accounts of Non-resident Exchange Houses,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/16MCDF82CC17C279247FCB66E2A39BDAD38F6.PDF,
,"Master Direction - External Commercial Borrowings, Trade Credit, Borrowing and Lending in Foreign Currency by Authorised Dealers and Persons other than Authorised Dealers ",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/15MDC8CEB9A7BDE64745B9BE1DCEC3293CA1.PDF,
,Master Direction - Miscellaneous,"Miscellaneous directions with respect to remittances to non-residents - deduction of tax at source, clarification regarding repatriation of  income  and  sale  proceeds of  assets  held  abroad  by  NRIs who  have  returned  to  India  for  permanent settlement  and  repatriation  of income and sale  proceeds  of  assets  acquired abroad  through  remittances under Liberalised Remittance Scheme, liberalisation of resident bank account maintained by residents in India, meeting of medical expenses of NRI close relatives by resident individuals, routing of funds raised abroad to India, mandate for sharing of information to the SIT formed under Justice M. B. Shah, Reserve Bank (Depositor Education and Awareness Fund) Scheme 2014, operational guidelines on International Financial Services Centre and regularisation of assets held abroad by a person resident in India under FEMA, 1999  ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/14MDM1120153F2FD5CC455640E78D139304BC7C080F.PDF,
,"Master Direction - Reporting under Foreign Exchange Management Act, 1999",Consolidates reports and forms required to be submitted under FEMA.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.PDF,
,Master Direction - Import of Goods and Services,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.PDF,
,Master Direction - Deposits and Accounts,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/09MDD593B2F2D48648C8AB3D37625C9F245D.PDF,
,Master Direction -Remittance of Assets,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/08MDROA112016989330DF1FF9494784DAC32B488E6AE4.PDF,
,"Master Direction - Acquisition and Transfer of Immovable Property under Foreign Exchange Management Act, 1999 ",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/07MIP0101168C51C4CB845342D09E8A4A613B1F1C6D.PDF,
,Master Direction -Other Remittance Facilities,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/04MD5127742FD0914D54B5EC4ECA8076F325.PDF,
,Master Direction - Liberalised Remittance Scheme (LRS),,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/03MD945692290C104C5595AEDAC89AE78788.PDF,
,Master Direction - Borrowing and Lending transactions in Indian Rupee between Persons Resident in India and Non-Resident Indians/ Persons of Indian Origin,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/02MD787706E669D641C090B415DBE22DEE29.PDF,
,"Master Direction- Compounding of Contraventions under FEMA, 1999",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/01MDC010116BADB4521C423465C9679DBFA22845C7D.PDF,
